Loading data...
Found 1731 confirmed mismatches to relabel
Caching reference images...
  Cached 346 reference images
To process: 1731
  [1/1731] ✓ ann    29: C:100 O:100 G:100 agree EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.1/s, ETA:194m)
  [460/1731] ✓ ann  6462: C:146 O:325 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:76m)
  [461/1731] ✓ ann 20476: C:109 O:109 G:None agree HUSMAN KNEKKEBRØD 260G WA -> 109(KNEKKEBRØD 100 FRØ&H) (0.3/s, ETA:76m)
  [462/1731] ✓ ann  6811: C:325 O:325 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:76m)
  [463/1731] ✓ ann 11575: C:191 O:191 G:191 agree TRESOR CHOCO NUT 410G KEL -> 191(ALL-BRAN REGULAR 375) (0.3/s, ETA:75m)
  [464/1731] ? ann 17046: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:75m)
  [465/1731] ? ann  6390: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [466/1731] ? ann 21945: C:248 O:None G:307 split KNEKKEBRØD RUNDA SESAM&HA -> 248(COTW DARK ROAST KAFF) (0.3/s, ETA:75m)
  [467/1731] ? ann  6185: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [468/1731] ✓ ann  7624: C:80 O:72 G:72 agree EGG ØKOLOGISK 6STK 375G J -> 72(EGG FRITTGÅENDE 12ST) (0.3/s, ETA:75m)
  [469/1731] ✓ ann 23842: C:39 O:39 G:39 agree KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:75m)
  [470/1731] ? ann  3233: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [471/1731] ? ann 24224: C:136 O:None G:None split KNEKKEBRØD SOLSIKKE GL.FR -> 136(SJOKOLADEDRIKK 450G ) (0.3/s, ETA:75m)
  [472/1731] ? ann  8167: C:275 O:80 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:75m)
  [473/1731] ? ann 12162: C:108 O:None G:None split GRANOLA MED JORDBÆR 390G  -> 108(MUSLI M/BELGISK SJOK) (0.3/s, ETA:75m)
  [474/1731] ? ann  4041: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:75m)
  [475/1731] ✓ ann 11086: C:242 O:242 G:181 agree MUSLI BLÅBÆR 630G AXA -> 242(BOG 390G GILDE) (0.3/s, ETA:75m)
  [476/1731] ✓ ann  1393: C:298 O:298 G:298 agree COFFEE MATE 180G  NESTLE -> 298(O'BOY ORIGINAL 450G ) (0.3/s, ETA:75m)
  [477/1731] ? ann 31107: C:130 O:None G:296 split KNEKKEBRØD 100 FRØ&HAVSAL -> 130(WEETOS CHOCO 375G WE) (0.3/s, ETA:74m)
  [478/1731] ? ann  8983: C:6 O:None G:None split GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:74m)
  [479/1731] ✓ ann 24229: C:136 O:136 G:136 agree KNEKKEBRØD HAVRE GL.FRI 1 -> 136(SJOKOLADEDRIKK 450G ) (0.3/s, ETA:74m)
  [480/1731] ? ann 24266: C:243 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 243(RYVITA KNEKKEBRØD RU) (0.3/s, ETA:74m)
  [481/1731] ✓ ann 21964: C:52 O:52 G:None agree FRUKOST FULLKORN 320G WAS -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:74m)
  [482/1731] ? ann  8977: C:275 O:6 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:74m)
  [483/1731] ? ann 24310: C:42 O:None G:None split FRUKOST KNEKKEBRØD 240G W -> 42(KNEKKS KJEKS M/SPELT) (0.3/s, ETA:74m)
  [484/1731] ✓ ann 20481: C:68 O:68 G:68 agree MAISKAKER OST 125G FRIGGS -> 68(MAISKAKER SOURCREAM&) (0.3/s, ETA:74m)
  [485/1731] ? ann 24273: C:323 O:None G:None split FRUKOST KNEKKEBRØD 240G W -> 323(KRUTONGER CHEESE&GAR) (0.3/s, ETA:74m)
  [486/1731] ✓ ann 25630: C:52 O:52 G:52 agree FRUKOST FULLKORN 320G WAS -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:74m)
  [487/1731] ? ann 24306: C:83 O:None G:None split FLATBRØD MORS HJEMMEBAKTE -> 83(BLACK TEA PEACG&MANG) (0.3/s, ETA:74m)
  [488/1731] ? ann   408: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:74m)
  [489/1731] ? ann  3883: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:74m)
  [490/1731] ? ann 33836: C:42 O:343 G:None split SKORPOR FULLKORN 240G PÅG -> 42(KNEKKS KJEKS M/SPELT) (0.3/s, ETA:74m)
  [491/1731] ✓ ann 11087: C:205 O:205 G:205 agree CRUNCHY MUSLI 750G FIRST  -> 205(CORN FLAKES 750G FIR) (0.3/s, ETA:76m)
  [492/1731] ? ann  7809: C:275 O:80 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:76m)
  [493/1731] ✓ ann  8760: C:275 O:275 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:76m)
  [494/1731] ✓ ann  4005: C:325 O:146 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:76m)
  [495/1731] ✓ ann  1387: C:146 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:76m)
  [496/1731] ✓ ann  8071: C:275 O:275 G:None agree EGG ØKOLOGISK M/L 12STK V -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:76m)
  [497/1731] ? ann 17045: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:76m)
  [498/1731] ✓ ann  5839: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:76m)
  [499/1731] ? ann  1157: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:76m)
  [500/1731] ✓ ann  7522: C:275 O:275 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:75m)
  [501/1731] ✓ ann 12113: C:29 O:29 G:29 agree BERIT GRANOLA M/PUFFET HA -> 29(NESQUIK FROKOSTBLAND) (0.3/s, ETA:75m)
  [502/1731] ✓ ann  8984: C:275 O:275 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:75m)
  [503/1731] ✓ ann 21828: C:307 O:21 G:21 agree SANDWICH CHEESE TOMAT&BAS -> 21(KNEKKEBRØD RUNDA SES) (0.3/s, ETA:75m)
  [504/1731] ? ann  4974: C:87 O:None G:None split FIRE RØDE FRUKTER 25POS T -> 87(SPICY INDIAN CHAI TE) (0.3/s, ETA:75m)
  [505/1731] ? ann  1733: C:259 O:None G:None split NESCAFE LATTE 144G -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [506/1731] ? ann   405: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [507/1731] ✓ ann  8626: C:6 O:6 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:75m)
  [508/1731] ? ann  6760: C:9 O:None G:None split NESCAFE VANILLA LATTE 136 -> 9(ESPRESSO INTENSO 16K) (0.3/s, ETA:75m)
  [509/1731] ? ann  6823: C:171 O:None G:None split NESCAFE GOLD KOFFEINFRI 1 -> 171(ALI ORIGINAL FILTERM) (0.3/s, ETA:75m)
  [510/1731] ? ann 24268: C:323 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 323(KRUTONGER CHEESE&GAR) (0.3/s, ETA:75m)
  [511/1731] ? ann 21980: C:244 O:246 G:None split KNEKKEBRØD SPORT+ 210G WA -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:75m)
  [512/1731] ? ann  2327: C:210 O:171 G:100 split EVERGOOD CLASSIC KOKMALT  -> 210(COTW ESPRESSO KAFFEK) (0.3/s, ETA:75m)
  [513/1731] ✓ ann 10727: C:29 O:29 G:29 agree GRANOLA MANDLER &QUINOA 4 -> 29(NESQUIK FROKOSTBLAND) (0.3/s, ETA:75m)
  [514/1731] ? ann  1949: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [515/1731] ✓ ann  5234: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:75m)
  [516/1731] ? ann 19706: C:244 O:52 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:75m)
  [517/1731] ✓ ann 19794: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:74m)
  [518/1731] ? ann  1736: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:74m)
  [519/1731] ? ann  6129: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:74m)
  [520/1731] ✓ ann 12056: C:262 O:262 G:None agree SVARTHAVRERIS ØKOLOGISK D -> 262(HAVREGRØT STEEL CUT ) (0.3/s, ETA:74m)
  [521/1731] ? ann 24207: C:125 O:None G:None split SANDWICH CHEESE HERBS 30G -> 125(SJOKOLADEDRIKK 512G ) (0.3/s, ETA:74m)
  [522/1731] ? ann 24213: C:180 O:None G:None split RYVITA KNEKKEBRØD RUG 400 -> 180(MÜSLI PAPAYA GLUTENF) (0.3/s, ETA:76m)
  [523/1731] ? ann 24230: C:1 O:None G:None split HUSMAN KNEKKEBRØD 260G WA -> 1(COFFEE MATE 180G  NE) (0.3/s, ETA:76m)
  [524/1731] ✓ ann 21966: C:52 O:52 G:None agree FRUKOST FULLKORN 320G WAS -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:76m)
  [525/1731] ? ann 19225: C:2 O:None G:None split FRUKOST FULLKORN 320G WAS -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:76m)
  [526/1731] ? ann 20839: C:147 O:None G:None split KNEKKEBRØD HAVRE GL.FRI 1 -> 147(ROOIBOS TE ØKOLOGISK) (0.3/s, ETA:76m)
  [527/1731] ? ann 17950: C:161 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:76m)
  [528/1731] ? ann  3234: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:76m)
  [529/1731] ? ann  3780: C:325 O:306 G:146 split NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:76m)
  [530/1731] ✓ ann 12814: C:262 O:262 G:262 agree SVARTHAVRERIS ØKOLOGISK D -> 262(HAVREGRØT STEEL CUT ) (0.3/s, ETA:76m)
  [531/1731] ? ann  8165: C:275 O:80 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:76m)
  [532/1731] ? ann  6187: C:9 O:None G:None split NESCAFE LATTE 144G -> 9(ESPRESSO INTENSO 16K) (0.3/s, ETA:76m)
  [533/1731] ? ann 17064: C:187 O:None G:None split CHEERIOS HAVRE 375G NESTL -> 187(WEETABIX ORIGINAL FR) (0.3/s, ETA:76m)
  [534/1731] ✓ ann  7122: C:31 O:31 G:None agree EVERGOOD DARK ROAST HELE  -> 31(TASSIMO EVERGOOD DAR) (0.3/s, ETA:75m)
  [535/1731] ✓ ann 25534: C:280 O:280 G:280 agree KNEKKEBRØD 220G SIGDAL -> 280(RISKAKER 100G FIRST ) (0.3/s, ETA:75m)
  [536/1731] ? ann  2110: C:259 O:None G:None split NESCAFE LATTE 144G -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [537/1731] ? ann  2381: C:87 O:46 G:None split FIRE RØDE FRUKTER 25POS T -> 87(SPICY INDIAN CHAI TE) (0.3/s, ETA:75m)
  [538/1731] ? ann 33372: C:122 O:None G:None split RUGSPRØ 200G WASA -> 122(NYPETE 24POS CONFECT) (0.3/s, ETA:75m)
  [539/1731] ✓ ann  3779: C:325 O:325 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:75m)
  [540/1731] ✓ ann  8974: C:6 O:6 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:75m)
  [541/1731] ? ann  3660: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:75m)
  [542/1731] ? ann 24250: C:186 O:None G:88 split KNEKKEBRØD 100 FRØ&HAVSAL -> 186(SUPERGRØT SKOGSBÆR 5) (0.3/s, ETA:75m)
  [543/1731] ✓ ann 19403: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:75m)
  [544/1731] ✓ ann 28194: C:39 O:39 G:39 agree KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:75m)
  [545/1731] ? ann 13805: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:75m)
  [546/1731] ✓ ann 20234: C:316 O:316 G:316 agree KNEKKEBRØD 100 FRØ&HAVSAL -> 316(FIBERRIK SOLSIKKE 12) (0.3/s, ETA:75m)
  [547/1731] ✓ ann  4920: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:75m)
  [548/1731] ✓ ann  1625: C:147 O:147 G:147 agree LIPTON ICETEA PEACH PULVE -> 147(ROOIBOS TE ØKOLOGISK) (0.3/s, ETA:75m)
  [549/1731] ? ann  2641: C:100 O:None G:243 split NESCAFE ORIGINAL 180G REF -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:74m)
  [550/1731] ? ann  3390: C:16 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 16(CAPPUCCINO 8KAPSLER ) (0.3/s, ETA:74m)
  [551/1731] ? ann 13981: C:161 O:None G:None split MÜSLI HASSELNØTT 600G AXA -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:74m)
  [552/1731] ✓ ann 20224: C:42 O:42 G:None agree HUSMAN KNEKKEBRØD 260G WA -> 42(KNEKKS KJEKS M/SPELT) (0.3/s, ETA:74m)
  [553/1731] ? ann  8168: C:275 O:72 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:74m)
  [554/1731] ✓ ann  8991: C:6 O:6 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:74m)
  [555/1731] ✓ ann  2914: C:146 O:146 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:74m)
  [556/1731] ? ann 17044: C:2 O:201 G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:74m)
  [557/1731] ✓ ann 25806: C:103 O:None G:103 agree LEKSANDS KNEKKE NORMALT S -> 103(EVERGOOD DARK ROAST ) (0.3/s, ETA:74m)
  [558/1731] ✓ ann 19667: C:73 O:73 G:73 agree KNEKKEBRØD GODT FOR DEG O -> 73(MELLOMBAR SJOKOLADE&) (0.3/s, ETA:74m)
  [559/1731] ? ann 27334: C:188 O:13 G:None split RUGSPRØ 200G WASA -> 188(MAISKAKER POPCORN 12) (0.3/s, ETA:74m)
  [560/1731] ✓ ann  2929: C:146 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:74m)
  [561/1731] ? ann 26258: C:250 O:None G:None split FRUKOST FULLKORN 320G WAS -> 250(LEKSANDS KNEKKE NORM) (0.3/s, ETA:73m)
  [562/1731] ? ann  6800: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:73m)
  [563/1731] ? ann  2293: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:73m)
  [564/1731] ? ann 24269: C:52 O:None G:None split SANDWICH SOUR CREAM&ONION -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:73m)
  [565/1731] ? ann 15762: C:161 O:201 G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:73m)
  [566/1731] ? ann  2139: C:169 O:None G:None split MOUNT KENYA FILTERMALT 20 -> 169(SJOKOLADEDRIKK REFIL) (0.3/s, ETA:73m)
  [567/1731] ✓ ann  7629: C:72 O:72 G:72 agree EGG ØKOLOGISK 6STK 375G J -> 72(EGG FRITTGÅENDE 12ST) (0.3/s, ETA:73m)
  [568/1731] ? ann  5838: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:73m)
  [569/1731] ✓ ann  3385: C:146 O:146 G:None agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:73m)
  [570/1731] ✓ ann  5776: C:325 O:325 G:None agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:73m)
  [571/1731] ✓ ann 23763: C:86 O:86 G:None agree FRUKOST FULLKORN 320G WAS -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:73m)
  [572/1731] ? ann 31507: C:244 O:52 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:73m)
  [573/1731] ? ann 29762: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:73m)
  [574/1731] ? ann  7953: C:275 O:232 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:73m)
  [575/1731] ? ann 21099: C:244 O:None G:271 split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:73m)
  [576/1731] ? ann 24326: C:52 O:None G:None split FRUKOST FULLKORN 320G WAS -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:73m)
  [577/1731] ? ann  2292: C:266 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 266(SJOKOLADEDRIKK LETT ) (0.3/s, ETA:72m)
  [578/1731] ? ann 24188: C:2 O:None G:None split FRUKOST FULLKORN 320G WAS -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:72m)
  [579/1731] ✓ ann   521: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:72m)
  [580/1731] ✓ ann  6810: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:72m)
  [581/1731] ? ann  7631: C:283 O:275 G:None split EGG ØKOLOGISK M/L 12STK V -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:72m)
  [582/1731] ? ann  2086: C:178 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 178(NESCAFE GOLD ORGANIC) (0.3/s, ETA:72m)
  [583/1731] ? ann 24211: C:90 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 90(GRANOLA PEKAN GL.FRI) (0.3/s, ETA:72m)
  [584/1731] ? ann 27881: C:244 O:None G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:72m)
  [585/1731] ? ann  1225: C:266 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 266(SJOKOLADEDRIKK LETT ) (0.3/s, ETA:72m)
  [586/1731] ? ann  7632: C:275 O:80 G:None split EGG M/L ØKOLOGISKE 10STK  -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:72m)
  [587/1731] ✓ ann  9422: C:6 O:6 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:72m)
  [588/1731] ? ann 24256: C:323 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 323(KRUTONGER CHEESE&GAR) (0.3/s, ETA:72m)
  [589/1731] ✓ ann 24247: C:65 O:111 G:111 agree KNEKKEBRØD 100 FRØ&HAVSAL -> 111(NESCAFE BRASERO 100G) (0.3/s, ETA:72m)
  [590/1731] ? ann  1950: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:71m)
  [591/1731] ? ann 24837: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:71m)
  [592/1731] ✓ ann  4769: C:344 O:344 G:None agree EVERGOOD DARK ROAST PRESS -> 344(EVERGOOD DARK ROAST ) (0.3/s, ETA:71m)
  [593/1731] ✓ ann  8627: C:6 O:6 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 6(Eldorado Økologiske ) (0.3/s, ETA:71m)
  [594/1731] ? ann 25754: C:244 O:52 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:71m)
  [595/1731] ? ann  5037: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:71m)
  [596/1731] ? ann  2295: C:9 O:None G:None split NESCAFE LATTE 144G -> 9(ESPRESSO INTENSO 16K) (0.3/s, ETA:71m)
  [597/1731] ? ann 18563: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:71m)
  [598/1731] ? ann  4993: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:71m)
  [599/1731] ✓ ann 19790: C:271 O:271 G:None agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:71m)
  [600/1731] ? ann  1738: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:71m)
  [601/1731] ? ann  6399: C:192 O:None G:None split NESCAFE LATTE 144G -> 192(ICE COFFEE 8POS NESC) (0.3/s, ETA:71m)
  [602/1731] ? ann  3879: C:16 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 16(CAPPUCCINO 8KAPSLER ) (0.3/s, ETA:71m)
  [603/1731] ? ann 24214: C:47 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 47(GRANOLA EPLE&KANEL 4) (0.3/s, ETA:71m)
  [604/1731] ✓ ann 21370: C:226 O:226 G:None agree LEKSANDS KNEKKE GODT STEK -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:70m)
  [605/1731] ? ann 24267: C:90 O:None G:None split SURDEIG KNEKKEBRØD WASA -> 90(GRANOLA PEKAN GL.FRI) (0.3/s, ETA:70m)
  [606/1731] ✓ ann  2921: C:45 O:45 G:45 agree EARL GREY TEA 25POS TWINI -> 45(LADY GREY TEA 25POS ) (0.3/s, ETA:70m)
  [607/1731] ✓ ann   493: C:146 O:146 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:70m)
  [608/1731] ? ann 19654: C:52 O:None G:None split SANDWICH CHEESE TOMAT&BAS -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:70m)
  [609/1731] ✓ ann 13983: C:164 O:164 G:None agree MÜSLI HASSELNØTT 600G AXA -> 164(GRANOLA NATURELL 475) (0.3/s, ETA:70m)
  [610/1731] ✓ ann  6190: C:325 O:325 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:70m)
  [611/1731] ? ann 10243: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:70m)
  [612/1731] ✓ ann  4192: C:45 O:45 G:45 agree SPICY INDIAN CHAI TEA 20P -> 45(LADY GREY TEA 25POS ) (0.3/s, ETA:70m)
  [613/1731] ✓ ann  5949: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:70m)
  [614/1731] ? ann 24562: C:308 O:None G:223 split SANDWICH CHEESE TOMAT&BAS -> 308(HAVREGRANOLA  JORDBÆ) (0.3/s, ETA:70m)
  [615/1731] ✓ ann 32378: C:86 O:86 G:None agree FRUKOST FULLKORN 320G WAS -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:70m)
  [616/1731] ? ann  6239: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:70m)
  [617/1731] ? ann 24243: C:173 O:None G:None split SURDEIG KNEKKEBRØD WASA -> 173(EARL GREY TEA 25POS ) (0.3/s, ETA:70m)
  [618/1731] ✓ ann 19247: C:343 O:343 G:343 agree HUSMAN KNEKKEBRØD 260G WA -> 343(KNEKKS KJEKS ORIGINA) (0.3/s, ETA:70m)
  [619/1731] ? ann 21096: C:244 O:338 G:271 split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:70m)
  [620/1731] ✓ ann  5857: C:267 O:267 G:267 agree NESCAFE AZERA ESPRESSO 10 -> 267(EGGEHVITE 500G ELDOR) (0.3/s, ETA:70m)
  [621/1731] ? ann  8064: C:275 O:72 G:None split EGG ØKOLOGISK M/L 12STK V -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:69m)
  [622/1731] ✓ ann  7635: C:275 O:275 G:None agree EGG ØKOLOGISK M/L 12STK V -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:69m)
